Gender,Education,Marital Status,Home Status,Employment Type,Region,Industry,Has Mortgage,Prior Default,Age,Annual Income($),Employment Years,Months At Address,Credit Score,Num Credit Cards,Credit Utilization(%),Num Late Payments,Num Inquiries 6M,Monthly Debt($),Savings Balance($),Approved
Male,Bachelors,Single,Rent,Salaried,Rural,Other,No,No,46,67270.0,13.0,70.0,411.0,3,33.1,2,4,2315.0,4511.0,0
Male,Bachelors,Married,Living with Parents,Salaried,Urban,Retail,Yes,No,55,21981.0,23.0,93.0,707.0,3,10.8,0,1,1736.0,3933.0,0
Male,Masters,Single,Own,Retired,Rural,Retail,Yes,No,63,61295.0,5.0,252.0,727.0,5,25.5,0,2,1363.0,2207.0,1
Female,Bachelors,Single,Own,Salaried,Urban,Other,Yes,No,52,19087.0,3.0,245.0,607.0,2,43.8,1,0,1325.0,21027.0,0
Male,Bachelors,Divorced,Rent,Salaried,Suburban,Healthcare,No,No,54,83224.0,,8.0,661.0,2,48.9,0,1,2017.0,1213.0,0
Female,Bachelors,Single,Living with Parents,Contract,Suburban,Other,No,No,68,56998.0,21.0,146.0,811.0,3,27.3,1,0,1442.0,1991.0,1
Female,Bachelors,Married,Rent,Salaried,Suburban,Healthcare,No,Yes,65,,24.0,9.0,665.0,3,20.9,3,1,983.0,4960.0,0
Female,Bachelors,Single,Own,Salaried,Rural,Retail,No,Yes,53,105576.0,14.0,197.0,536.0,2,60.4,3,2,1579.0,9341.0,0
Female,High School,Single,Mortgage,Salaried,Rural,Other,No,No,74,239256.0,18.0,66.0,579.0,1,61.4,1,1,913.0,340.0,0
Female,High School,Single,Mortgage,Self-Employed,Suburban,Tech,No,No,25,37096.0,5.0,42.0,637.0,1,29.2,2,0,3081.0,3150.0,0
Male,High School,Single,Living with Parents,Self-Employed,Rural,Other,No,No,33,,,165.0,650.0,1,28.7,0,1,808.0,27929.0,1
Male,Masters,Single,Rent,Self-Employed,Rural,Finance,No,No,42,61729.0,37.0,207.0,823.0,0,65.0,0,2,1737.0,4808.0,1
Male,PhD,Married,Own,Salaried,Urban,Manufacturing,No,No,29,159005.0,8.0,109.0,656.0,2,26.3,0,0,1666.0,6876.0,1
Male,PhD,Married,Mortgage,Retired,Urban,Other,No,Yes,64,47569.0,5.0,270.0,652.0,3,13.9,0,1,944.0,3799.0,0
Male,Bachelors,Single,Own,Salaried,Urban,Tech,Yes,No,30,24443.0,24.0,211.0,687.0,2,25.8,1,2,1457.0,150133.0,0
Female,Masters,Married,Living with Parents,Self-Employed,Urban,Healthcare,No,Yes,48,90555.0,6.0,26.0,714.0,2,30.7,2,1,,9099.0,0
Male,High School,Married,Mortgage,Unemployed,Urban,Tech,Yes,Yes,38,,0.0,200.0,712.0,4,36.6,0,3,1125.0,13624.0,0
Female,High School,Married,Own,Salaried,Rural,Finance,No,Yes,34,73726.0,19.0,120.0,724.0,3,23.6,1,2,1325.0,15279.0,0
Male,Masters,Divorced,Mortgage,Salaried,Suburban,,No,Yes,67,57627.0,10.0,198.0,728.0,2,66.5,1,1,2501.0,,0
Female,High School,Married,Mortgage,Salaried,Urban,Other,No,No,61,65186.0,5.0,123.0,750.0,4,47.2,0,1,1345.0,19476.0,1
Female,High School,Married,Own,Salaried,Urban,Other,No,No,25,59459.0,27.0,155.0,773.0,2,66.7,2,0,2314.0,9870.0,1
Male,Bachelors,Married,Mortgage,Salaried,Rural,Healthcare,Yes,No,71,123074.0,12.0,271.0,709.0,2,51.1,0,2,1418.0,2284.0,1
Female,Masters,Married,Mortgage,Salaried,Urban,Tech,No,Yes,47,,11.0,207.0,485.0,1,47.2,2,0,899.0,485.0,0
Female,PhD,Divorced,Rent,Self-Employed,Rural,Other,Yes,No,58,44044.0,,149.0,756.0,2,50.9,1,1,1296.0,2872.0,0
Female,High School,Single,Own,Salaried,Urban,Other,No,No,70,155425.0,13.0,101.0,850.0,1,48.5,1,0,1685.0,11611.0,1
Female,Bachelors,Single,Living with Parents,Salaried,Suburban,Manufacturing,No,No,57,63967.0,18.0,28.0,585.0,1,34.2,1,3,2451.0,29245.0,0
Male,Masters,Married,Mortgage,Unemployed,Suburban,Other,No,No,58,143342.0,0.0,242.0,850.0,2,13.0,1,0,3154.0,4769.0,1
Male,Masters,Single,Rent,Salaried,Urban,Finance,No,No,19,40538.0,13.0,67.0,,1,17.4,1,1,828.0,3975.0,0
Female,Masters,Single,Mortgage,Unemployed,Urban,Manufacturing,No,No,56,16720.0,0.0,172.0,808.0,2,70.0,2,1,253.0,11127.0,0
Female,Bachelors,Single,Rent,Salaried,Rural,Tech,Yes,No,53,69686.0,39.0,99.0,,2,52.9,0,0,1789.0,697.0,1
Male,Masters,Married,Living with Parents,Self-Employed,Rural,Manufacturing,No,No,64,30800.0,23.0,247.0,647.0,3,62.4,1,0,2494.0,15088.0,0
Female,Bachelors,Single,Living with Parents,Contract,Urban,Healthcare,No,No,30,91765.0,18.0,46.0,720.0,4,73.9,0,0,3864.0,5400.0,0
Female,Bachelors,Single,Rent,Salaried,Urban,Manufacturing,No,Yes,49,213283.0,22.0,151.0,678.0,1,53.5,0,0,1492.0,3625.0,0
Female,Bachelors,Married,Rent,Self-Employed,Urban,Finance,Yes,Yes,46,,29.0,91.0,793.0,3,11.8,2,1,1878.0,9997.0,0
Male,Bachelors,Married,Mortgage,Salaried,Suburban,Other,No,No,38,51295.0,6.0,,663.0,1,52.2,1,0,1046.0,4535.0,0
Male,Bachelors,Single,Rent,Salaried,Urban,Manufacturing,Yes,No,34,27386.0,29.0,110.0,,1,47.2,2,2,3304.0,,0
Male,Bachelors,Single,Own,Salaried,Urban,Other,No,Yes,39,83026.0,24.0,95.0,689.0,4,23.5,1,0,1407.0,1511.0,1
Male,High School,Married,Rent,Unemployed,Urban,Tech,Yes,No,72,106668.0,0.0,58.0,729.0,4,12.1,2,3,0.0,2053.0,1
Female,Masters,Divorced,Mortgage,Self-Employed,Suburban,Healthcare,No,No,68,85294.0,18.0,68.0,660.0,2,43.4,1,2,742.0,16052.0,1
Male,Bachelors,Single,Mortgage,Self-Employed,Suburban,Tech,No,No,52,145407.0,19.0,195.0,659.0,2,61.4,3,0,1556.0,1710.0,0
Female,High School,Single,Rent,Unemployed,Suburban,Healthcare,Yes,Yes,71,136778.0,0.0,95.0,699.0,2,35.8,0,0,2868.0,18183.0,0
Male,Bachelors,Divorced,Rent,Salaried,Urban,Manufacturing,No,No,72,50016.0,29.0,129.0,608.0,2,49.0,2,1,2563.0,4623.0,0
Female,Masters,Married,Mortgage,Unemployed,Suburban,Retail,No,No,20,,0.0,132.0,654.0,5,73.1,1,0,1085.0,21732.0,0
Male,Bachelors,Single,Mortgage,Self-Employed,Rural,Retail,No,Yes,51,43205.0,2.0,278.0,777.0,5,14.3,0,2,0.0,,0
Male,Masters,Single,Own,Contract,Suburban,Manufacturing,Yes,No,29,33556.0,,87.0,584.0,0,19.7,0,1,1181.0,7609.0,0
Male,Bachelors,Single,Own,Salaried,Suburban,Other,No,No,58,88640.0,25.0,37.0,768.0,3,54.4,0,1,973.0,,1
Male,PhD,Single,Mortgage,Self-Employed,Suburban,Healthcare,Yes,No,52,105751.0,,49.0,598.0,4,19.3,3,0,1955.0,21751.0,1
Female,Bachelors,Married,Own,Salaried,Urban,Other,Yes,Yes,61,158963.0,0.0,54.0,667.0,1,43.4,0,3,1051.0,,0
Female,PhD,Divorced,Rent,Salaried,Urban,Manufacturing,Yes,Yes,31,31333.0,6.0,54.0,660.0,4,60.7,1,1,1353.0,5309.0,0
Male,Bachelors,Single,Own,Self-Employed,Suburban,Retail,No,Yes,70,69622.0,7.0,5.0,659.0,1,79.5,0,2,2296.0,1354.0,0
Male,Bachelors,Single,Mortgage,Salaried,Urban,Manufacturing,Yes,Yes,64,25242.0,30.0,128.0,651.0,2,55.9,1,2,963.0,,0
Female,High School,Single,Rent,Salaried,Suburban,Manufacturing,No,No,39,,0.0,290.0,620.0,1,72.8,1,0,2266.0,1511.0,0
Male,Masters,Divorced,Rent,Salaried,Urban,Other,No,No,44,52371.0,38.0,270.0,626.0,2,20.2,0,3,0.0,6279.0,0
Female,High School,Married,Rent,Contract,Urban,Manufacturing,No,No,40,26428.0,15.0,196.0,623.0,5,34.9,0,0,2007.0,6938.0,0
Female,Masters,Divorced,Rent,Salaried,Urban,Finance,Yes,No,55,63555.0,19.0,23.0,639.0,2,47.0,1,0,909.0,2909.0,0
Male,Bachelors,Married,Rent,Salaried,Suburban,Other,No,No,26,23197.0,32.0,80.0,657.0,2,42.6,0,1,0.0,5366.0,0
Male,Masters,Single,Rent,Salaried,Urban,Other,No,No,32,64941.0,37.0,233.0,521.0,0,48.4,1,1,1619.0,,0
Female,Bachelors,Single,Mortgage,Salaried,Urban,Finance,Yes,Yes,27,45922.0,19.0,253.0,713.0,3,57.6,3,0,0.0,3788.0,0
Female,Masters,Married,Rent,Self-Employed,Suburban,Retail,No,No,45,44894.0,34.0,80.0,687.0,3,38.5,0,1,2335.0,3624.0,0
Male,Bachelors,Married,Rent,Unemployed,Urban,Retail,Yes,No,47,53878.0,0.0,265.0,705.0,2,82.1,0,2,1541.0,825.0,0
Female,High School,Single,Living with Parents,Salaried,Rural,Healthcare,No,No,74,22292.0,14.0,,689.0,0,25.7,0,1,1427.0,,0
Male,Masters,Single,Mortgage,Salaried,Rural,Healthcare,Yes,No,59,97645.0,27.0,116.0,604.0,0,19.8,0,2,1500.0,28493.0,0
Female,Masters,Single,Own,Salaried,Suburban,Tech,No,No,73,28399.0,31.0,5.0,674.0,0,42.3,1,0,1384.0,6162.0,0
Female,Masters,Married,Own,Salaried,Rural,Other,Yes,No,64,26475.0,7.0,264.0,850.0,0,45.4,2,1,2128.0,,0
Male,Bachelors,Single,Mortgage,Unemployed,Urban,Tech,No,No,52,109783.0,0.0,80.0,,0,64.5,1,0,2228.0,14138.0,0
Male,High School,Married,Own,Salaried,Urban,Retail,No,No,35,197434.0,27.0,134.0,781.0,2,58.9,0,0,2664.0,,1
Female,High School,Married,Rent,Salaried,Rural,Tech,Yes,No,58,,35.0,,597.0,3,60.4,0,1,2012.0,759.0,0
Male,Masters,Married,Mortgage,Unemployed,Rural,Healthcare,No,No,54,19218.0,0.0,4.0,850.0,2,53.6,0,2,0.0,1403.0,0
Female,Bachelors,Single,Rent,Salaried,Urban,Healthcare,Yes,No,58,49649.0,18.0,201.0,784.0,1,56.0,1,0,1167.0,5061.0,1
Female,Bachelors,Married,Mortgage,Salaried,Suburban,Other,No,Yes,21,42716.0,37.0,45.0,850.0,3,10.3,1,0,858.0,,0
Male,Bachelors,Married,Rent,Self-Employed,Suburban,Other,No,No,38,38340.0,,58.0,,2,12.2,1,3,0.0,6655.0,1
Female,Masters,Single,Mortgage,Self-Employed,Suburban,Other,No,No,44,35725.0,35.0,235.0,608.0,3,39.9,1,1,1450.0,639.0,0
Male,High School,Single,Living with Parents,Contract,Suburban,Manufacturing,No,No,56,69686.0,33.0,284.0,756.0,4,33.5,0,2,9.0,2245.0,1
Male,High School,Single,Rent,Salaried,Urban,Healthcare,Yes,No,46,,17.0,123.0,806.0,1,19.5,2,2,1976.0,2898.0,0
Male,High School,Married,Rent,Unemployed,Suburban,Finance,No,No,58,29778.0,0.0,65.0,768.0,2,29.1,0,0,949.0,17742.0,0
Male,PhD,Divorced,Rent,Salaried,Rural,Manufacturing,Yes,No,41,37835.0,13.0,109.0,570.0,4,49.7,0,0,815.0,,0
Male,High School,Divorced,Rent,Salaried,Suburban,Healthcare,Yes,Yes,46,30153.0,0.0,231.0,764.0,1,43.3,0,2,2492.0,7956.0,0
Female,PhD,Divorced,Mortgage,Salaried,Urban,Retail,Yes,No,29,19578.0,11.0,152.0,754.0,4,45.1,0,2,1036.0,12447.0,0
Female,High School,Married,Rent,Salaried,Rural,Manufacturing,No,No,52,91557.0,22.0,261.0,765.0,1,26.6,1,2,1003.0,1974.0,1
Male,Bachelors,Single,Mortgage,Salaried,Urban,Healthcare,Yes,Yes,74,94131.0,7.0,192.0,713.0,2,14.3,0,3,2651.0,3555.0,0
Male,Bachelors,Divorced,Living with Parents,Salaried,Urban,Other,No,Yes,34,53559.0,8.0,201.0,729.0,5,50.3,0,2,493.0,2475.0,0
Female,Bachelors,Single,Rent,Self-Employed,Urban,Manufacturing,Yes,No,27,31417.0,34.0,282.0,584.0,2,64.9,2,1,2620.0,1338.0,0
Male,High School,Married,Rent,Salaried,Urban,Finance,Yes,No,26,25540.0,17.0,146.0,735.0,2,59.7,1,1,1219.0,743.0,0
Female,Bachelors,Married,Mortgage,,Suburban,Healthcare,Yes,Yes,36,35449.0,38.0,3.0,492.0,1,28.5,1,0,1161.0,28640.0,0
Male,Bachelors,Married,Mortgage,Salaried,Suburban,Retail,No,No,28,37286.0,34.0,5.0,824.0,0,48.0,1,1,2294.0,25681.0,0
Male,Masters,Married,Living with Parents,Unemployed,Urban,Healthcare,No,No,30,66251.0,0.0,136.0,735.0,2,52.6,0,1,1214.0,13304.0,0
Female,Masters,Single,Rent,Self-Employed,Urban,Other,No,No,25,37545.0,39.0,298.0,750.0,1,61.7,2,1,2516.0,4394.0,0
Female,Masters,Married,Mortgage,Salaried,Urban,Other,Yes,No,45,37328.0,21.0,219.0,596.0,4,13.8,0,2,1336.0,,0
Female,High School,Married,Mortgage,Salaried,Suburban,Other,No,Yes,19,65667.0,24.0,208.0,694.0,4,35.8,0,2,582.0,4802.0,0
Male,Masters,Married,Living with Parents,,Suburban,Finance,No,No,55,56819.0,0.0,51.0,838.0,3,65.2,0,0,1211.0,13484.0,1
Female,Bachelors,Married,Rent,Salaried,Suburban,Other,No,No,19,69203.0,4.0,183.0,430.0,1,41.1,2,0,241.0,45215.0,0
Male,Masters,Single,Rent,Salaried,Rural,Manufacturing,Yes,No,55,40373.0,23.0,128.0,795.0,2,25.3,3,1,970.0,1679.0,1
Female,Masters,Married,Rent,Self-Employed,Urban,Other,No,No,69,73873.0,10.0,231.0,744.0,3,46.9,1,0,1317.0,3376.0,0
Male,High School,Divorced,Mortgage,Self-Employed,Rural,Finance,No,No,37,42497.0,31.0,114.0,634.0,1,64.8,2,1,2536.0,24100.0,0
Male,Bachelors,Single,Own,Salaried,Suburban,Tech,Yes,No,40,67543.0,2.0,214.0,791.0,5,14.8,2,1,1396.0,4646.0,1
Male,Bachelors,Married,Mortgage,Salaried,Urban,Tech,No,Yes,27,,17.0,21.0,581.0,4,14.3,2,2,61.0,4154.0,0
Female,Bachelors,Married,Rent,Contract,Urban,Healthcare,No,No,66,65621.0,6.0,,731.0,3,53.2,1,2,1575.0,,1
Male,Masters,Divorced,Rent,Salaried,Suburban,Retail,Yes,No,68,75234.0,1.0,119.0,,3,51.8,0,1,1663.0,4893.0,1
Female,High School,Married,Rent,Salaried,Suburban,Retail,No,Yes,73,137962.0,2.0,111.0,696.0,1,35.5,0,0,2581.0,3968.0,0
Female,Bachelors,Married,Living with Parents,Salaried,Suburban,Other,No,No,46,19772.0,30.0,43.0,700.0,1,25.8,0,1,2309.0,16953.0,0
Female,Bachelors,Married,Mortgage,Contract,Urban,Finance,No,No,41,84783.0,1.0,88.0,621.0,3,44.3,0,1,1921.0,3244.0,0
Female,High School,Single,Rent,Unemployed,Urban,,Yes,No,44,51022.0,0.0,198.0,760.0,3,20.6,0,1,84.0,1779.0,1
Female,Bachelors,Married,Living with Parents,Self-Employed,Suburban,Manufacturing,No,No,62,77338.0,13.0,31.0,416.0,2,85.0,2,3,,3430.0,0
Male,Bachelors,Single,Mortgage,Self-Employed,Urban,Tech,Yes,No,31,69135.0,11.0,69.0,637.0,2,59.4,1,0,,1294.0,0
Male,High School,Single,Rent,Salaried,Urban,Healthcare,Yes,No,45,42070.0,5.0,140.0,680.0,3,68.5,0,1,391.0,3394.0,0
Male,High School,Married,Own,Self-Employed,Urban,Manufacturing,No,No,19,99566.0,1.0,160.0,761.0,2,20.9,1,2,1522.0,14277.0,1
Male,Bachelors,Single,Rent,Retired,Suburban,Manufacturing,No,No,28,83289.0,1.0,161.0,680.0,0,44.8,2,0,790.0,5238.0,0
Male,PhD,Divorced,Rent,Salaried,Suburban,Retail,No,No,66,24786.0,34.0,238.0,850.0,2,58.8,1,0,1810.0,2123.0,0
Female,Masters,Married,Mortgage,Salaried,Urban,Tech,No,No,40,13008.0,16.0,234.0,730.0,2,61.1,0,2,1226.0,14438.0,0
Female,Bachelors,Single,Living with Parents,Salaried,Suburban,Manufacturing,Yes,No,42,,22.0,223.0,639.0,0,24.0,0,1,1920.0,2601.0,0
Male,Bachelors,Married,,Salaried,Urban,Other,No,No,70,87793.0,29.0,294.0,574.0,1,12.7,1,2,1269.0,10042.0,0
Female,PhD,Married,Rent,Salaried,Suburban,Manufacturing,No,No,43,97084.0,12.0,209.0,826.0,4,53.5,0,1,651.0,6112.0,1
Male,Bachelors,Married,Own,Unemployed,Suburban,Healthcare,No,No,66,212897.0,0.0,202.0,,2,51.0,1,0,1475.0,3625.0,0
Female,High School,Single,Rent,Salaried,Suburban,Retail,No,No,43,66546.0,25.0,192.0,720.0,5,20.4,1,0,815.0,14873.0,1
Female,Bachelors,Divorced,Own,Self-Employed,Urban,Healthcare,No,No,35,69899.0,36.0,235.0,589.0,5,19.3,2,0,1827.0,7237.0,0
Male,High School,Married,Rent,Contract,Urban,Retail,No,No,59,53356.0,11.0,29.0,729.0,2,37.7,1,1,1576.0,15548.0,1
Female,Masters,Single,Mortgage,Salaried,Urban,Other,Yes,No,61,27487.0,33.0,33.0,,2,64.3,1,2,2775.0,1907.0,0
Male,Bachelors,Single,Living with Parents,Contract,Suburban,Tech,Yes,No,72,64995.0,16.0,4.0,695.0,2,78.0,0,1,1573.0,,0
Female,Bachelors,Single,Mortgage,Salaried,Suburban,Retail,Yes,No,54,25951.0,31.0,102.0,786.0,3,12.1,1,2,835.0,,1
Female,Masters,Single,Rent,Salaried,Suburban,Manufacturing,No,No,34,37104.0,14.0,161.0,850.0,4,75.4,0,0,971.0,2793.0,1
Male,Masters,Single,Rent,Salaried,Suburban,Tech,No,No,45,54169.0,0.0,88.0,604.0,2,45.1,2,1,1510.0,2016.0,0
Male,Masters,Married,Mortgage,Self-Employed,Suburban,Tech,No,No,27,33488.0,23.0,258.0,772.0,4,29.5,0,1,132.0,2036.0,1
Male,Masters,Single,Rent,Salaried,Urban,Other,Yes,No,24,60692.0,17.0,34.0,641.0,4,47.5,0,2,1511.0,3336.0,0
Female,Bachelors,Single,Mortgage,Contract,Urban,Finance,No,No,35,,27.0,234.0,681.0,3,52.7,1,0,2293.0,5687.0,0
Female,High School,Single,Own,Self-Employed,Rural,Retail,No,No,58,,32.0,191.0,,1,83.2,0,1,2322.0,10543.0,0
Female,High School,Married,Rent,Self-Employed,Urban,Retail,No,Yes,36,128821.0,23.0,180.0,551.0,0,82.5,1,2,,9602.0,0
Male,Bachelors,Married,Mortgage,Salaried,Rural,Retail,Yes,Yes,60,51624.0,2.0,134.0,680.0,3,41.2,0,1,431.0,61327.0,0
Female,High School,Single,Rent,Contract,Urban,Healthcare,No,No,40,45292.0,9.0,6.0,738.0,4,76.2,0,0,689.0,4760.0,0
Female,PhD,Married,Own,Contract,Suburban,,No,No,30,64985.0,,267.0,,1,40.6,1,0,1981.0,11034.0,0
Female,High School,Married,Rent,Contract,Rural,Finance,Yes,No,22,30441.0,5.0,278.0,772.0,2,68.0,3,2,177.0,,0
Male,Bachelors,Single,Living with Parents,Contract,Rural,Tech,Yes,No,72,119060.0,31.0,40.0,726.0,1,35.7,2,2,443.0,7464.0,1
Female,High School,Married,Mortgage,Salaried,Urban,Retail,No,No,34,22777.0,35.0,251.0,631.0,7,55.8,0,0,974.0,12548.0,0
Male,Bachelors,Single,Rent,Salaried,Suburban,Manufacturing,Yes,No,33,73112.0,6.0,,721.0,2,56.3,1,1,1448.0,2034.0,0
